condition	n	L_file	sd_L	G_file	L_report	acc	cov	d	ask	exec
W0	2	2469.0	0.0	1105.0	0.0					
W1	2	823.0	0.0	450.0	0.0					
W2	2	533.0	0.0	298.0	0.0					
W3	2	298.0	0.0	176.0	1107.0					
W4	2	217.0	0.0	135.0	508.5					
W1R	1	823.0	0.0	450.0	563.0					
RW0	2	2469.0	0.0	1105.0	1076.5			0.00	1.00	
RW1	2	2469.0	0.0	1105.0	855.0			0.00	1.00	
RW2	2	2469.0	0.0	1105.0	665.0			0.00	1.00	
RW3	2	2469.0	0.0	1105.0	930.5			0.00	1.00	
RW4	2	2469.0	0.0	1105.0	884.5			0.00	1.00	
J3	2	537.0	0.0	189.0	123.5	1.000				
T3	2	188.0	0.0	133.0	431.5	1.000				
J12	2	1712.0	0.0	309.0	104.5	1.000				
T12	2	625.0	0.0	240.0	135.5	1.000				
J24	2	3223.0	204.0	405.5	212.0	1.000				
T24	2	1212.0	0.0	328.0	306.0	1.000				
GhiD	2	2160.0	0.0	331.0	223.0					2/2
GhiP	2	102.0	4.0	100.0	329.0					2/2
GloD	2	2105.0	0.0	463.0	109.0					2/2
GloP	2	1745.5	372.5	465.5	501.0					2/2
X0	3	2425.0	307.9	2351.7	295.0		6.0			
X1	3	418.7	80.4	550.7	412.3		6.0			
X2	3	1809.7	127.0	1870.0	619.7		6.0			
