condition	n	L_out	L_out_sd	gz_out	gz_out_sd	acc_cell	acc_cell_sd	acc_q	acc_q_sd	L_file	L_file_sd	gz_file	gz_file_sd	cov	cov_sd	pre	pre_sd	rep	rep_sd	sumsec	sumsec_sd	L_report	L_report_sd	T	T_sd
T	2	625	0.0	240	0.0	1.0	0.0																		
K	2	597	0.0	221	0.0	1.0	0.0																		
E	2	311	0.0	145	0.0	1.0	0.0																		
P	2	267	0.0	104	0.0	1.0	0.0																		
UT	2							6	0.0																
UK	2							6	0.0																
UE	2							6	0.0																
UP	2							6	0.0																
C0	3									2425	307.9	2351.7	273.6	6	0.0	195.7	9.0	45.3	2.6	1	0.0	295	39.1	2720	322.0
CC	3									617.7	74.5	724	86.4	6	0.0	58	16.3	17.3	1.2	0	0.0	161.3	24.7	779	94.4
CI	3									1942.3	201.7	1991.3	143.6	6	0.0	181.3	18.6	35.3	2.6	1	0.0	299.3	75.6	2241.7	238.5
CR	3									1892.3	672.4	1752	340.9	6	0.0	157.3	11.8	33	6.5	0.3	0.5	282.3	27.8	2174.7	683.0
CK	3									743.7	110.1	879.7	104.3	6	0.0	96	22.1	16.3	1.7	0	0.0	190	47.2	933.7	156.5
WN	3									5145.7	700.8	3838.7	132.9	10	0.0	809	109.1	63	1.4	0.3	0.5	383.3	75.6	5529	627.4
WF	3									1840.7	216.9	1805	155.6	10	0.0	351.3	56.6	33	0.8	0	0.0	184.7	63.5	2025.3	269.0
WT	3									1656	55.7	1682	39.0	10	0.0	316.7	12.4	34.3	1.9	0	0.0	149.3	30.0	1805.3	42.9
WB	3									1708	42.5	1704.7	32.4	10	0.0	311.3	13.0	34.7	2.4	0	0.0	171.3	12.2	1879.3	54.0
