trial	condition	file	bytes	sha256_12
t01	W3	out.diff	298	d2462ed0c6ff
t01	W3	report.txt	1385	ff457b404d70
t02	J3	out.txt	537	76e19ac8c137
t02	J3	report.txt	288	4685073ee06c
t03	J12	out.txt	1712	52db2cf6ea21
t03	J12	report.txt	173	f5bbe777421d
t04	GhiD	out.txt	2160	e11ae042943e
t04	GhiD	report.txt	206	af0e64160a5f
t05	W4	out.diff	217	c696720ec181
t05	W4	report.txt	556	0baf2f4933f4
t06	T3	out.txt	188	464c7b48a06f
t06	T3	report.txt	411	0e3d1b0bf387
t07	J24	out.txt	3019	3ec55293cbfa
t07	J24	report.txt	223	544725cae550
t08	GhiP	out.py	98	fe0a320a2446
t08	GhiP	report.txt	298	38ba739039bf
t09	X1	doc.txt	802	73d841085b0c
t09	X1	report.txt	474	af9a49b1e29a
t10	T24	out.txt	1212	f9624254166e
t10	T24	report.txt	250	cb36e2511f56
t11	GloD	out.txt	2105	1b78305006af
t11	GloD	report.txt	181	bd86ce410a0a
t12	X2	doc.txt	3638	baa9655afa3c
t12	X2	report.txt	867	fadf07a66ebf
t13	GloP	out.py	1373	47218db462a0
t13	GloP	report.txt	815	63111996f425
t14	W3	out.diff	298	d2462ed0c6ff
t14	W3	report.txt	1479	c7189a42b22f
t15	X2	doc.txt	4158	9ad95df9f411
t15	X2	report.txt	884	b2dc08c7e38d
t16	J3	out.txt	537	76e19ac8c137
t16	J3	report.txt	171	835c202030ea
t17	J12	out.txt	1712	52db2cf6ea21
t17	J12	report.txt	200	cb96505b0b76
t18	GhiD	out.txt	2160	e11ae042943e
t18	GhiD	report.txt	263	878ca47671fe
t19	X1	doc.txt	1177	12bc5135b380
t19	X1	report.txt	616	55621eea25fc
t20	W4	out.diff	217	c696720ec181
t20	W4	report.txt	493	27ab9de620e3
t21	T3	out.txt	188	464c7b48a06f
t21	T3	report.txt	439	0152bd2a7a68
t22	J24	out.txt	3427	753e5db4ab5d
t22	J24	report.txt	260	bb05ad6a19df
t23	GhiP	out.py	106	0621a8e5652b
t23	GhiP	report.txt	424	4090c734ad7a
t24	X2	doc.txt	4230	df62ffe48ea5
t24	X2	report.txt	1023	6415353e8ccc
t25	T24	out.txt	1212	f9624254166e
t25	T24	report.txt	302	eef1f87e6409
t26	GloD	out.txt	2105	1b78305006af
t26	GloD	report.txt	241	d57784329d71
t27	W1R	out.diff	823	d3a8dd60dc48
t27	W1R	report.txt	597	1133d2f51d6c
t28	GloP	out.py	2118	704083587f80
t28	GloP	report.txt	504	2e1663cdc6d8
t29	X1	doc.txt	765	30d0bac616c7
t29	X1	report.txt	501	6f952fd1baf6
t30	RW0	change.txt	2469	2b1de62c01f5
t30	RW0	deploy.yaml	2469	2b1de62c01f5
t30	RW0	report.txt	1464	386c8e3b50b6
t31	RW1	change.txt	823	d3a8dd60dc48
t31	RW1	deploy.yaml	2469	2b1de62c01f5
t31	RW1	report.txt	1111	f0d26a97c359
t32	RW2	change.txt	533	08daf8bfd74b
t32	RW2	deploy.yaml	2469	2b1de62c01f5
t32	RW2	report.txt	860	d529f3f35e4e
t33	RW3	change.txt	298	d2462ed0c6ff
t33	RW3	deploy.yaml	2469	2b1de62c01f5
t33	RW3	report.txt	1500	bb2b3152450e
t34	RW4	change.txt	217	c696720ec181
t34	RW4	deploy.yaml	2469	2b1de62c01f5
t34	RW4	report.txt	1502	a2216e114ede
t35	RW0	change.txt	2469	2b1de62c01f5
t35	RW0	deploy.yaml	2469	2b1de62c01f5
t35	RW0	report.txt	1783	19dc4dec8051
t36	RW1	change.txt	823	d3a8dd60dc48
t36	RW1	deploy.yaml	2469	2b1de62c01f5
t36	RW1	report.txt	1321	29258d9e003c
t37	RW2	change.txt	533	08daf8bfd74b
t37	RW2	deploy.yaml	2469	2b1de62c01f5
t37	RW2	report.txt	1010	cdabf26f950b
t38	RW3	change.txt	298	d2462ed0c6ff
t38	RW3	deploy.yaml	2469	2b1de62c01f5
t38	RW3	report.txt	1295	772012d26d2e
t39	RW4	change.txt	217	c696720ec181
t39	RW4	deploy.yaml	2469	2b1de62c01f5
t39	RW4	report.txt	1078	62f64da87db3
